,stock_no,stock_name
693,03985P,聚陽凱基03售02
694,03986P,可成凱基04售03
695,03987P,巨大凱基03售02
696,03988P,微星元大03售04
697,03989P,晶技元大03售02
698,03990P,聯發科統一03售19
699,03991P,宏碁元富07售04
700,03992P,宏碁元富07售05
701,03993P,大立光元富06售02
702,03994P,台積電台新03售04
703,03995P,FBVIX群益03售01
704,03996P,京鼎群益03售01
705,03997P,臺股指群益03售12
706,03998P,臺股指群益03售13
707,03999P,臺股指群益03售14
708,04000P,臺股指群益03售15
709,04001P,電子類群益03售02
710,04002P,臺股指國票03售03
711,04003P,臺股指國票03售04
712,04004P,臺股指國票03售05
713,04005P,臺股指國票03售06
714,04007P,臺股指國票03售07
715,04008P,臺股指國票03售08
716,04009P,臺股指國票03售09
717,04010P,臺股指國票03售10
718,04011P,臺股指國票03售11
719,04012P,臺股指國票03售12
720,04013P,聯電群益04售03
721,04014P,大立光兆豐04售05
722,04015P,台灣50凱基03售10
723,04016P,台灣50凱基06售01
724,04017P,上銀統一03售03
725,04018P,群創元富05售02
726,04019P,台灣50元大05售02
727,04020P,瑞昱元大03售06
728,04021P,嘉澤元大03售01
729,04022P,彩晶元大03售05
730,04024P,巨大元大03售03
731,04025P,松翰國票03售03
732,04026P,台灣50國泰05售01
733,04027P,瑞昱國泰03售01
734,04028P,健策國泰03售01
735,04029P,臺股指永豐03售01
736,04030P,健策元富04售01
737,04031P,臺指2X中信05售01
738,04032P,臺指2X中信07售02
739,04033P,臺指2X中信09售01
740,04034P,台積電中信07售06
741,04035P,台積電中信07售07
742,04036P,台積電兆豐04售04
743,04037P,聯發科元大03售13
744,04038P,台積電凱基03售17
745,04039P,彩晶康和03售01
746,04040P,台灣50國票03售07
747,04041P,國喬國票03售02
748,04042P,FBVIX凱基04售02
749,04043P,世紀鋼凱基03售05
750,04044P,台灣50群益03售14
751,04045P,台積電群益03售19
752,04046P,南電群益03售04
753,04047P,世紀鋼群益03售03
754,04048P,世紀鋼康和04售02
755,04049P,健策元大03售02
756,04050P,世紀鋼元大03售07
757,04051P,漢唐國票03售01
758,04052P,國泰金國票03售02
759,04053P,美利達國票03售02
760,04054P,瑞昱元富06售01
761,04055P,瑞昱元富06售02
762,04056P,欣興元富03售01
763,04057P,欣興元富06售01
764,04058P,台積電國泰05售03
765,04059P,義隆國泰05售01
766,04060P,群創兆豐03售05
767,04061P,為升凱基03售05
768,04062P,祥碩凱基03售02
769,04063P,南電凱基03售05
770,04064P,FBVIX群益03售02
771,04065P,上銀群益03售06
772,04066P,祥碩群益03售02
773,04067P,台積電元大03售18
774,04068P,台積電元大03售19
775,04069P,祥碩永豐03售01
776,04070P,台積電國票03售15
777,04071P,台積電國票03售16
778,04072P,祥碩國票03售01
779,04073P,祥碩國票03售02
780,04074P,台積電統一03售22
781,04075P,南亞科元富09售02
782,04076P,友達元富09售04
783,04077P,祥碩元富05售04
784,04078P,世紀鋼元富09售03
785,04079P,臺指2X群益03售01
786,04080P,群臺2X群益03售01
787,04081P,上緯控群益03售01
788,04082P,祥碩群益03售03
789,04083P,鴻海凱基03售09
790,04084P,台積電凱基04售07
791,04085P,上銀元大03售03
792,04086P,大立光元大03售07
793,04087P,上緯控元大03售07
794,04088P,南電元大03售12
795,04089P,茂林元富06售01
796,04090P,祥碩國泰03售01
797,04091P,上銀國票03售02
798,04092P,台積電國票03售17
799,04093P,台積電國票04售05
800,04094P,台積電國票04售06
801,04095P,聯發科國票04售03
802,04096P,強茂國票03售02
803,04097P,欣興國票03售07
804,04098P,台灣50凱基04售16
805,04099P,臺指2X凱基04售01
806,04100P,臺指2X凱基06售01
807,04101P,群臺2X凱基05售01
808,04102P,上銀凱基03售03
809,04103P,金像電凱基03售06
810,04104P,大立光凱基04售03
811,04105P,國巨兆豐04售04
812,04106P,T50正2中信07售01
813,04107P,S&P正2中信05售02
814,04108P,T50正2群益04售01
815,04109P,國泰金群益03售01
816,04110P,台積電元大03售22
817,04111P,台積電元大03售23
818,04112P,瑞昱元大03售07
819,04113P,聯發科元大03售18
820,04114P,聯發科元大03售19
821,04115P,欣興元大03售12
822,04116P,祥碩元大03售01
823,04117P,遠東新國票03售02
824,04118P,台積電國票04售07
825,04119P,台積電國票05售06
826,04120P,聯發科國票03售13
827,04121P,冠德國票03售03
828,04122P,新唐國票03售01
829,04123P,晶碩國票03售01
830,04124P,台積電統一03售23
831,04125P,華新科統一03售03
832,04126P,大立光統一03售09
833,04127P,聯電元富05售05
834,04128P,台積電元富07售22
835,04129P,大立光元富03售07
836,04130P,智易元富07售03
837,04131P,T50正2富邦05售01
838,04132P,亞德客兆豐03售02
839,04133P,T50正2中信09售01
840,04134P,臺股指中信05售08
841,04135P,聯電凱基03售11
842,04136P,鴻海凱基04售04
843,04137P,T50正2群益03售01
844,04138P,臺指2X國票03售01
845,04139P,玉晶光國票05售03
846,04140P,嘉澤國票03售01
847,04141P,彩晶國票03售02
848,04143P,玉晶光元大04售02
849,04144P,祥碩元大03售06
850,04145P,祥碩元大03售07
851,04146P,台表科元大03售02
852,04147P,台表科元大03售03
853,04148P,T50正2中信05售01
854,04149P,T50正2群益03售02
855,04150P,華新科群益03售02
856,04151P,台積電統一03售25
857,04152P,T50正2國票04售01
858,04153P,元黃金國票05售01
859,04154P,臺指2X國票04售01
860,04155P,臺指2X國票06售01
861,04156P,元金2X國票05售01
862,04157P,鴻海國票04售04
863,04158P,華新科國票04售02
864,04159P,大立光國票04售03
865,04160P,台勝科國票03售01
866,04161P,台表科國票04售01
